Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,"Location",County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Status,Last Update
53.01000,52.51000,-,131.8,,"Farmington",San Juan,36.72809982,-108.21800232,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
53.08000,52.58000,-,127.3,,"Carlsbad",Eddy,32.42070007,-104.22899628,KD6WJG,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-02
53.41000,52.91000,-,,,"Alamogordo",Otero,32.89939880,-105.95999908,KA5BYL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-22
53.75000,52.75000,-,141.3,,"Las Cruces",Dona Ana,32.31993960,-106.76365380,N5BL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-06
144.96000,144.56000,s,,,"Alamogordo - La Luz",Otero,32.89950180,-105.95999908,W6DHS,OPEN,Unknown,DStar,,,,,,Unknown,2022-06-13
145.11500,144.51500,-,67.0,,"Pinos Altos",Grant,32.74819946,-108.16600037,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
145.11500,144.51500,-,,,"Farmington",San Juan,36.78170013,-107.98999786,KF5VBE,OPEN,On-Air,DStar,,,,,,On-Air,2022-12-16
145.13000,144.53000,-,100.0,100.0,"Albuquerque - Fire Sta 35",Bernalillo,35.17350006,-106.51000214,NM5BC,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-19
145.13000,144.53000,-,141.3,,"Caballo - Caballo Peak",Sierra,33.13309860,-107.23500061,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-02
145.15000,144.55000,-,100.0,100.0,"Tijeras - Cedro Peak",Bernalillo,35.05300140,-106.35199738,NM5BC,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-05-19
145.17000,144.57000,-,100.0,,"Lordsburg - Jack's Peak",Hidalgo,32.58300018,-108.42500305,N5IA,OPEN,Unknown,Analog/analog,,,,,Wide area,Unknown,2021-08-24
145.17500,144.57500,-,156.7,156.7,"Cuba - Eureka Mesa",Sandoval,36.01338400,-106.84455900,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
145.17500,144.57500,-,141.3,141.3,"Socorro - Socorro Peak",Socorro,34.05839920,-106.89099884,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-25
145.18000,144.58000,-,,,"Tularosa",Otero,33.07397300,-106.01860250,N6CID,OPEN,On-Air,DMR,,,,,Wide area,On-Air,2025-03-16
145.19000,144.59000,-,162.2,162.2,"Los Alamos - Pajarito Mtn",Los Alamos,35.88669968,-106.39499664,W5SF,OPEN,On-Air,YSF/analog,,,,,Wide area,On-Air,2023-02-05
145.19000,144.59000,-,,,"Los Alamos - Pajarito Mtn",Los Alamos,35.88669968,-106.39499664,NM5EC,OPEN,On-Air,YSF/analog,,,,,Wide area,On-Air,2023-02-05
145.21000,144.61000,-,110.9,110.9,"Maxwell - Eagle Tail Mtn",Colfax,36.68300000,-104.41500000,N5GDR,OPEN,On-Air,Analog/analog,,,,46298,,On-Air,2023-04-20
145.21000,144.61000,-,141.3,,"Lordsburg - Jack's Peak",Hidalgo,32.58269400,-108.42580300,K7EAR,OPEN,On-Air,Analog/analog,,614350,7787,,,On-Air,2023-02-11
145.21000,144.61000,-,,,"Santa Fe - Food Depot",Santa Fe,35.65900000,-105.99600000,W5SF,OPEN,On-Air,DStar,,,,,,On-Air,2024-10-21
145.23000,144.63000,-,123.0,,"Cloudcroft - Benson Ridge",Otero,32.85810089,-105.71099854,K5KKO,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-01-06
145.25000,144.65000,-,82.5,82.5,"Cedar Crest",Bernalillo,35.12996800,-106.36581200,K6EEN,OPEN,On-Air,Analog/analog,,,,58153,,On-Air,2022-11-23
145.25000,144.65000,-,88.5,,"Lordsburg - Jack's Peak",Hidalgo,32.35029984,-108.70800018,N5IA,CLOSED,On-Air,Analog/analog,,,,,,On-Air,2021-09-25
145.25000,144.65000,-,141.3,,"Caprock - Caudill Ranch",Lea,33.39210129,-103.71199799,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-10
145.25000,144.65000,-,123.0,,"Red River - Valle Vidal",Taos,36.75999832,-105.30999756,KF5PFO,OPEN,Unknown,Analog/analog,,,,,,Unknown,2022-06-25
145.27000,144.67000,-,141.3,,"Luna - South Mtn",Catron,33.82700000,-109.17000000,K7EAR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2025-08-22
145.29000,144.69000,-,100.0,,"Albuquerque - Sandia Crest",Bernalillo,35.20890045,-106.44699860,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-04
145.31000,144.71000,-,100.0,,"Caballo - Caballo Peak",Sierra,32.97153800,-107.22647000,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2025-08-20
145.33000,144.73000,-,100.0,,"Albuquerque - Sandia Crest",Bernalillo,35.20890045,-106.44699860,W5CSY,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-22
145.35000,144.75000,-,67.0,,"Alamogordo - Long Ridge",Otero,32.83309937,-105.88300323,WA5IHL,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-05
145.37000,144.77000,-,162.2,,"Edgewood",Bernalillo,35.06344100,-106.17920800,KF5MEF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-08-22
145.37000,144.77000,-,141.3,,"Clovis - Claud",Curry,34.40480042,-103.20500183,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-10
145.37000,144.77000,-,141.3,,"Wagon Mound - Turkey Mtn",Mora,35.98400116,-104.90100098,NM5EM,OPEN,Unknown,Analog/analog,,,,,,Unknown,2023-04-20
145.37000,144.77000,-,156.7,,"Cloudcroft - Benson Ridge",Otero,32.95729828,-105.74199677,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-10
145.37000,144.77000,-,162.2,,"Edgewood",Santa Fe,35.06140000,-106.19140000,KF5MEF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-06-26
145.39000,144.79000,-,127.3,127.3,"Cubero",Cibola,35.13005530,-107.65779960,KE5FYL,OPEN,On-Air,Analog/analog,,,,599322,Wide area,On-Air,2024-07-30
145.39000,144.79000,-,100.0,,"Red River",Taos,36.69300079,-105.51399994,KF5PFO,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-03
145.41000,144.81000,-,100.0,,"La Cueva",Sandoval,35.86729813,-106.63800049,W5HO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-16
145.43000,144.83000,-,88.5,,"Columbus",Luna,31.82760048,-107.63999939,W5DAR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
145.43000,144.83000,-,162.2,,"Zuni - Black Rock",McKinley,35.11500000,-108.73920000,KD5SAR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-02
145.43000,144.83000,-,100.0,,"Los Lunas - Meadow Lake",Valencia,34.80540000,-106.54560000,KC5OUR,OPEN,On-Air,YSF/analog,,,,,,On-Air,2021-03-24
145.45000,144.85000,-,151.4,,"Ruidoso",Lincoln,33.30939865,-105.65799713,KR5NM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-19
145.47000,144.87000,-,141.3,,"Caballo - Caballo Lake",Sierra,33.13309860,-107.23500061,K7EAR,OPEN,On-Air,Analog/analog,,614350,7787,,,On-Air,2023-02-11
145.49000,144.89000,-,103.5,,"Glenwood - Brushy Mtn",Catron,33.30300000,-108.93300000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-07-20
145.49000,144.89000,-,100.0,,"Raton",Colfax,36.76000000,-104.40500000,N0DRC,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-10-17
145.49000,144.89000,-,100.0,,"Lybrook",Rio Arriba,36.23329926,-107.56199646,NM5SJ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-04
145.51500,144.91500,-,141.3,,"Corona - Gallinas Peak",Lincoln,34.24440002,-105.79100037,NM5EM,OPEN,Unknown,Analog/analog,,,,,,Unknown,2023-04-11
146.61000,146.01000,-,100.0,,"Capitan - Capitan Mountain",Lincoln,33.60645542,-105.36043289,KR5NM,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2025-06-09
146.61000,146.01000,-,100.0,,"Aztec - Hottel Hill",San Juan,36.80630112,-108.00199890,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
146.64000,146.04000,-,67.0,67.0,"Grants - MW Ridge",Bernalillo,35.18880081,-107.59999847,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
146.64000,146.04000,-,100.0,,"Roswell - NMMI",Chaves,33.41230011,-104.52300262,N5MMI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-02
146.64000,146.04000,-,100.0,,"Las Cruces/ Twin Peaks",Dona Ana,32.40409851,-106.76300049,N5BL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2025-02-12
146.66000,146.06000,-,100.0,,"Grants - Microwave Ridge",Cibola,35.18910000,-107.59960000,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
146.66000,146.06000,-,67.0,,"Roswell - Capitan Peak",Lincoln,33.59109879,-105.26499939,WA5IHL,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-09-01
146.68000,146.08000,-,100.0,123.0,"Socorro - M Mtn",Socorro,34.07170105,-106.96299744,W5AQA,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-02-25
146.70000,146.10000,-,100.0,,"Belen",Valencia,34.66279984,-106.77600098,KC5OUR,OPEN,On-Air,YSF/analog,,,,,,On-Air,2021-06-04
146.72000,146.12000,-,100.0,127.3,"Tijeras",Bernalillo,34.98500061,-106.34500122,K5CQH,OPEN,On-Air,Analog/analog,,880130,,,Wide area,On-Air,2022-12-17
146.74000,146.14000,-,100.0,,"Aztec",San Juan,36.82220078,-107.99199677,NM5SJ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-12
146.76000,146.16000,-,127.3,,"Carlsbad",Eddy,32.42070007,-104.22899628,KD6WJG,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
146.76000,146.16000,-,100.0,100.0,"Farmington",San Juan,36.72809982,-108.21800232,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-04
146.76000,146.16000,-,100.0,,"Caballo - Caballo Peak",Sierra,32.88759995,-107.26899719,N5BL,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-07-23
146.76000,146.16000,-,67.0,,"Tres Piedras - San Antonio Mtn",Taos,36.64690018,-105.96700287,KF5PFO,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-13
146.78000,146.18000,-,100.0,,"Organ - San Augustin Peak",Dona Ana,32.42580032,-106.56700134,N5IAC,CLOSED,On-Air,Analog/analog,,,,,,On-Air,2022-07-23
146.78000,146.18000,-,,,"Tres Piedras - San Antonio Mtn",Taos,36.85900000,-106.01890000,KF5PFO,OPEN,On-Air,DMR,5,,,,Wide area,On-Air,2021-11-12
146.82000,146.22000,-,67.0,,"Portales",Roosevelt,34.18610001,-103.33399963,KE5RUE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
146.82000,146.22000,-,100.0,,"Sanostee - Roof Butte",San Juan,36.46139908,-109.09600067,NM5SJ,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2025-08-22
146.82000,146.22000,-,162.2,,"Santa Fe - Tesuque Peak",Santa Fe,35.78499985,-105.78099823,W5SF,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-02-05
146.84000,146.24000,-,103.5,,"Apache Creek - Mangas Mtn",Catron,34.05196000,-108.30735000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
146.84000,146.24000,-,,,"Las Cruces - Twin Peaks",Dona Ana,32.40450000,-106.76220000,N5BL,OPEN,On-Air,DStar,,,,,,On-Air,2022-12-18
146.84000,146.24000,-,67.0,,"Redlake ",Roosevelt,33.90000153,-103.50000000,KE5RUE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
146.84000,146.24000,-,107.2,,"La Cueva",Sandoval,35.66600000,-106.74600000,N9PGQ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-07-20
146.85000,146.25000,-,100.0,100.0,"Farmington",San Juan,36.72809982,-108.21800232,K5WXI,OPEN,On-Air,Analog/analog,,,,,,On-Air,0000-00-00
146.88000,146.28000,-,88.5,,"Carlsbad",Eddy,32.41650009,-104.23000336,N5CNM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
146.88000,146.28000,-,,,"Los Alamos - Barranca Mesa",Los Alamos,35.90269852,-106.28199768,W5PDO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-03-09
146.88000,146.28000,-,100.0,,"Aztec - Tank Mtn",San Juan,36.82220078,-107.99299622,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
146.90000,146.30000,-,67.0,,"Albuquerque - Op Ctr",Bernalillo,35.05780029,-106.58699799,K5FIQ,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-23
146.92000,146.32000,-,100.0,,"Ruidoso - Alto Crest",Lincoln,33.38639832,-105.67099762,KR5NM,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-15
146.92000,146.32000,-,100.0,,"Bloomfield",San Juan,36.71110153,-107.98400116,K5WXI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2017-08-25
146.94000,146.34000,-,,,"Roswell",Chaves,33.39419937,-104.52200317,KJ5UFO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-02
146.94000,146.34000,-,100.0,,"Grants - Mt Taylor",Cibola,35.23860168,-107.60800171,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
146.96000,146.36000,-,100.0,88.5,"Belen - Capilla Peak",Torrance,34.70140076,-106.40100098,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-02-25
146.98000,146.38000,-,141.3,141.3,"Grants - Mt Taylor",Cibola,35.25249863,-107.59700012,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-02-24
146.98000,146.38000,-,103.5,,"Silver City - Black Peak",Grant,32.90947800,-108.16219100,K5GAR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-18
146.98000,146.38000,-,100.0,100.0,"Ruidoso - Buck Mtn",Lincoln,33.33169937,-105.67299652,K5RIC,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-08-02
147.00000,147.60000,+,100.0,100.0,"High Rolls",Otero,32.93989944,-105.84200287,KF5MQH,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-12-02
147.00000,147.60000,+,67.0,,"Portales - ENMU",Roosevelt,34.18069839,-103.35199738,W5OMU,OPEN,On-Air,Analog/analog,,,,,,On-Air,2017-01-15
147.00000,147.60000,+,67.0,,"Midway (Portales)",Roosevelt,34.25000000,-103.23000336,KE5RUE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
147.00000,147.60000,+,100.0,,"Farmington - College Hill",San Juan,36.76200000,-108.18200000,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
147.02000,147.62000,+,100.0,,"Deming - Little Florida Mtn",Luna,32.26860046,-107.75800323,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
147.02000,147.62000,+,141.3,,"Santa Fe - Tesuque Peak",Santa Fe,35.78530121,-105.78199768,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-01
147.04000,147.64000,+,100.0,,"Datil - Davenport Lookout",Catron,34.28359985,-107.91300201,NM5ML,OPEN,Unknown,Analog/analog,,,,,,Unknown,2021-07-22
147.04000,147.64000,+,141.3,,"Eagle Nest - Touch Me Not",Colfax,36.57799911,-105.19799805,NM5EM,OPEN,Unknown,Analog/analog,,,,,,Unknown,2021-06-04
147.04000,147.64000,+,141.3,141.3,"Santa Rosa - Moon Ranch",Guadalupe,34.93870163,-104.68199921,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-17
147.04000,147.64000,+,151.4,,"Deming - Little Florida Mtn",Luna,32.19400000,-107.60800000,K5ELP,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-01-03
147.06000,147.66000,+,141.3,,"Deming - Little Florida Mtn",Luna,32.19279861,-107.60500336,K7EAR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-11
147.06000,147.66000,+,67.0,,"Clines Corners - Tapia Mesa",San Miguel,35.04779816,-105.62999725,K5FIQ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-23
147.08000,147.68000,+,,,"Deming",Luna,32.26869965,-107.75900269,W5JX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
147.08000,147.68000,+,162.2,,"Chama - Overlook Mtn",Rio Arriba,36.90999985,-106.58000183,W5SF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-04
147.08000,147.68000,+,100.0,,"Placitas - La Madera",Sandoval,35.30749893,-106.45700073,NM5SC,OPEN,On-Air,Analog/analog,,,,28176,Wide area,On-Air,2023-02-05
147.10000,147.70000,+,103.5,,"Reserve - Eagle Peak",Catron,33.67673000,-108.57694000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
147.10000,147.70000,+,,,"Jal",Lea,32.11309814,-103.19300079,N5SVI,OPEN,Unknown,Analog/analog,,,,,,Unknown,0000-00-00
147.10000,147.70000,+,100.0,,"Bloomfield - Harris Mesa",San Juan,36.61000061,-107.80999756,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
147.10000,147.70000,+,100.0,100.0,"Rio Rancho - Rainbow",Sandoval,35.27439880,-106.73699951,NM5RR,OPEN,On-Air,Analog/analog,,,,27749,,On-Air,2023-02-05
147.12000,147.72000,+,88.5,,"Carlsbad - Dark Canyon",Eddy,32.27550125,-104.45300293,N5SOR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
147.12000,147.72000,+,67.0,,"Taos - Picuris Peak",Taos,36.24689865,-105.65399933,W5TYL,OPEN,On-Air,Analog/analog,,891030,,,Wide area,On-Air,2022-08-02
147.12000,147.72000,+,100.0,,"Bosque Farms",Valencia,34.85300000,-106.69800000,KC5OUR,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-07-20
147.14000,147.74000,+,100.0,,"Datil - Luera Peak",Catron,33.82640076,-107.87699890,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
147.14000,147.74000,+,100.0,,"Fort Sumner",Debaca,34.47169876,-104.24500275,KB5ZFA,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
